,addr,scp,car_sum
1213,[25 47],4.907526180956666,4.0
1215,[28 46],5.319487035504654,2.0
1216,[95 94],8.469406263216545,7.0
1220,[87 76],14.958604269960606,9.0
1221,[95 25],7.503735704591016,5.0
1222,[85 88],3.5075191378059833,4.0
1225,[0 0],7.673909545244912,4.0
1227,[24 46],4.308981075140407,3.0
1228,[59 55],7.055446425966554,4.0
1229,[92 26],4.2888008708450425,3.0
1230,[64 78],3.0944823277089686,3.0
1231,[79 28],7.647133983749237,5.0
1233,[99 28],5.456445873797824,3.0
1235,[80 13],4.138668139959209,3.0
1236,[24 56],7.734855026273972,4.0
1237,[ 8 49],11.620283581377382,8.0
1238,[71 42],3.9190614443361826,3.0
1240,[62 72],3.721170975185121,3.0
1242,[ 7 65],5.518311383203306,4.0
1243,[4 0],7.306303318321016,5.0
1245,[23 24],4.560845974635167,3.0
1246,[92 14],5.578395114858214,3.0
1248,[92 77],4.772232385811566,3.0
1249,[53 93],17.710037028927395,12.0
1251,[62 23],12.55884712021556,8.0
1254,[42 37],3.5430246916881165,2.0
1255,[ 2 83],16.774701243949362,12.0
1256,[16 56],4.149869298586999,3.0
1257,[32 47],11.72748335591315,8.0
1258,[80 19],4.25532260149128,3.0
1259,[56  1],3.7586152855537796,3.0
1260,[ 3 87],6.63413224347303,4.0
1261,[44 86],9.238546204190246,7.0
1262,[78 29],4.5416616507292265,3.0
1263,[ 7 88],6.47244182481073,6.0
1264,[93 60],3.17328410068854,2.0
1265,[64 11],12.03299538712135,8.0
1267,[35 52],7.186050375141103,6.0
1268,[64 16],15.34477180512656,10.0
